date,close,open,high,low,volume,percentage
"2024-5-8","18,313.86","18,510.54","18,606.56","18,298.36","2.91B","-0.90%"
"2024-5-7","18,479.37","18,577.55","18,638.81","18,411.02","2.49B","-0.53%"
"2024-5-6","18,578.30","18,488.55","18,590.17","18,389.54","3.44B","0.55%"
"2024-5-3","18,475.92","18,543.30","18,604.17","18,362.22","2.48B","1.48%"
"2024-5-2","18,207.13","17,760.68","18,217.82","17,740.62","2.42B","2.50%"
"2024-4-30","17,763.03","17,843.44","17,902.02","17,686.94","3.68B","0.09%"
"2024-4-29","17,746.91","17,737.93","18,031.16","17,679.19","4.85B","0.54%"
"2024-4-26","17,651.15","17,336.20","17,758.24","17,336.20","3.85B","2.12%"
"2024-4-25","17,284.54","17,144.12","17,438.83","17,109.57","3.15B","0.48%"
"2024-4-24","17,201.27","16,993.17","17,217.86","16,934.65","3.31B","2.21%"
"2024-4-23","16,828.93","16,679.39","16,846.13","16,599.21","2.99B","1.92%"
"2024-4-22","16,511.69","16,410.83","16,637.82","16,410.83","2.92B","1.77%"
"2024-4-19","16,224.14","16,246.34","16,254.90","16,044.45","3.39B","-0.99%"
"2024-4-18","16,385.87","16,253.24","16,507.60","16,206.55","3.23B","0.82%"
"2024-4-17","16,251.84","16,225.54","16,316.69","16,155.83","2.45B","0.02%"
"2024-4-16","16,248.97","16,367.69","16,449.24","16,208.64","3.09B","-2.12%"
"2024-4-15","16,600.46","16,487.36","16,647.09","16,465.40","2.56B","-0.72%"
"2024-4-12","16,721.69","16,978.70","17,031.31","16,721.69","2.84B","-2.18%"
"2024-4-11","17,095.03","16,856.19","17,141.36","16,856.19","2.48B","-0.26%"
"2024-4-10","17,139.17","16,926.02","17,190.50","16,918.36","2.55B","1.85%"
"2024-4-9","16,828.07","16,819.18","17,006.85","16,805.99","2.12B","0.57%"
"2024-4-8","16,732.85","16,650.83","16,895.06","16,580.53","2.64B","0.05%"
"2024-4-5","16,723.92","16,787.93","16,839.55","16,480.36","1.80B","-0.01%"
"2024-4-3","16,725.10","16,926.85","16,926.85","16,689.19","2.67B","-1.22%"
"2024-4-2","16,931.52","16,811.74","17,007.34","16,811.74","3.98B","2.36%"
"2024-3-28","16,541.42","16,378.40","16,725.61","16,345.90","3.20B","0.91%"
"2024-3-27","16,392.84","16,530.44","16,612.00","16,354.81","2.77B","-1.36%"
"2024-3-26","16,618.32","16,548.50","16,728.90","16,452.55","2.75B","0.88%"
"2024-3-25","16,473.64","16,531.95","16,612.64","16,441.30","2.62B","-0.16%"
"2024-3-22","16,499.47","16,745.27","16,747.20","16,341.61","3.11B","-2.16%"
"2024-3-21","16,863.10","16,762.83","16,973.52","16,762.83","3.22B","1.93%"
"2024-3-20","16,543.07","16,559.01","16,654.08","16,430.12","2.29B","0.08%"
"2024-3-19","16,529.48","16,628.07","16,682.54","16,492.09","2.43B","-1.24%"
"2024-3-18","16,737.12","16,690.26","16,801.64","16,641.58","2.24B","0.10%"
"2024-3-15","16,720.89","16,758.36","16,821.13","16,550.42","3.78B","-1.42%"
"2024-3-14","16,961.66","17,120.54","17,209.82","16,878.11","2.70B","-0.71%"
"2024-3-13","17,082.11","17,059.11","17,214.67","17,050.87","2.80B","-0.07%"
"2024-3-12","17,093.50","16,701.95","17,154.87","16,613.45","4.00B","3.05%"
"2024-3-11","16,587.57","16,416.17","16,625.64","16,416.17","2.49B","1.43%"
"2024-3-8","16,353.39","16,275.39","16,489.73","16,275.39","2.60B","0.76%"
"2024-3-7","16,229.78","16,417.77","16,512.41","16,136.12","2.54B","-1.27%"
"2024-3-6","16,438.09","16,167.45","16,545.05","16,145.22","2.49B","1.70%"
"2024-3-5","16,162.64","16,343.95","16,450.37","16,095.68","2.70B","-2.61%"
"2024-3-4","16,595.97","16,629.55","16,645.96","16,473.65","2.52B","0.04%"
"2024-3-1","16,589.44","16,390.89","16,651.67","16,321.12","2.88B","0.47%"
"2024-2-29","16,511.44","16,429.57","16,695.36","16,429.57","3.38B","-0.15%"
"2024-2-28","16,536.85","16,833.61","16,844.33","16,517.84","2.59B","-1.51%"
"2024-2-27","16,790.80","16,645.63","16,828.67","16,453.50","2.42B","0.94%"
"2024-2-26","16,634.74","16,684.96","16,777.41","16,590.71","2.25B","-0.54%"
"2024-2-23","16,725.86","16,654.68","16,895.82","16,654.68","2.90B","-0.10%"
"2024-2-22","16,742.95","16,489.84","16,742.95","16,424.79","2.74B","1.45%"
"2024-2-21","16,503.10","16,182.93","16,756.01","16,138.81","3.84B","1.57%"
"2024-2-20","16,247.51","16,222.09","16,274.56","16,055.08","2.21B","0.57%"
"2024-2-19","16,155.61","16,334.47","16,334.47","16,137.98","2.19B","-1.13%"
"2024-2-16","16,339.96","16,007.54","16,394.16","15,937.28","1.74B","2.48%"
"2024-2-15","15,944.63","15,824.21","16,029.02","15,751.36","1.06B","0.41%"
"2024-2-14","15,879.38","15,579.41","15,911.05","15,456.32","1.40B","0.84%"
"2024-2-9","15,746.58","15,709.30","15,754.01","15,531.03","745.47M","-0.83%"
"2024-2-8","15,878.07","15,988.62","16,093.52","15,821.86","1.94B","-1.27%"
"2024-2-7","16,081.89","16,282.39","16,408.15","16,035.43","2.81B","-0.34%"
"2024-2-6","16,136.87","15,541.23","16,154.05","15,541.23","3.31B","4.04%"
"2024-2-5","15,510.01","15,336.86","15,669.77","15,336.86","2.31B","-0.15%"
"2024-2-2","15,533.56","15,756.12","15,912.61","15,435.85","2.48B","-0.21%"
"2024-2-1","15,566.21","15,522.86","15,805.06","15,434.82","2.45B","0.52%"
"2024-1-31","15,485.07","15,652.05","15,744.04","15,411.66","2.59B","-1.39%"
"2024-1-30","15,703.45","15,896.66","15,896.66","15,654.97","2.57B","-2.32%"
"2024-1-29","16,077.24","16,046.25","16,258.45","16,012.59","2.92B","0.78%"
"2024-1-26","15,952.23","16,158.72","16,240.96","15,888.04","3.31B","-1.60%"
"2024-1-25","16,211.96","15,989.94","16,254.93","15,828.93","4.10B","1.96%"
"2024-1-24","15,899.87","15,602.45","15,975.11","15,412.10","3.60B","3.56%"
"2024-1-23","15,353.98","15,038.33","15,516.80","14,994.37","2.80B","2.63%"
"2024-1-22","14,961.18","15,349.05","15,362.91","14,794.16","2.81B","-2.27%"
"2024-1-19","15,308.69","15,404.69","15,540.75","15,207.99","2.24B","-0.54%"
"2024-1-18","15,391.79","15,301.19","15,463.69","15,183.96","2.82B","0.75%"
"2024-1-17","15,276.90","15,764.38","15,764.38","15,194.94","3.95B","-3.71%"
"2024-1-16","15,865.92","16,030.25","16,197.04","15,834.41","2.14B","-2.16%"
"2024-1-15","16,216.33","16,258.28","16,334.71","16,104.50","1.37B","-0.17%"
"2024-1-12","16,244.58","16,216.97","16,393.74","16,185.91","1.53B","-0.35%"
"2024-1-11","16,302.04","16,154.17","16,459.92","16,106.83","1.97B","1.27%"
"2024-1-10","16,097.28","16,143.97","16,247.30","16,036.42","1.79B","-0.57%"
"2024-1-9","16,190.02","16,256.10","16,414.79","16,190.02","1.94B","-0.21%"
"2024-1-8","16,224.45","16,581.86","16,592.06","16,144.56","2.23B","-1.88%"
"2024-1-5","16,535.33","16,573.12","16,745.73","16,455.57","1.94B","-0.66%"
"2024-1-4","16,645.98","16,673.40","16,673.40","16,516.33","1.79B","0.00%"
"2024-1-3","16,646.41","16,624.92","16,657.51","16,564.80","1.58B","-0.85%"
"2024-1-2","16,788.55","17,135.12","17,135.12","16,725.28","1.72B","-1.52%"
"2023-12-29","17,047.39","17,066.52","17,095.12","16,950.90","1.57B","0.02%"
"2023-12-28","17,043.53","16,678.23","17,086.10","16,644.43","2.30B","2.52%"
"2023-12-27","16,624.84","16,561.78","16,673.57","16,439.26","2.23B","1.74%"
"2023-12-22","16,340.41","16,743.06","16,857.84","16,271.50","2.20B","-1.69%"
"2023-12-21","16,621.13","16,455.14","16,649.57","16,444.73","1.40B","0.04%"
"2023-12-20","16,613.81","16,647.95","16,741.05","16,549.49","1.65B","0.66%"
"2023-12-19","16,505.00","16,551.44","16,579.55","16,408.02","1.52B","-0.75%"
"2023-12-18","16,629.23","16,669.82","16,713.41","16,572.88","1.57B","-0.97%"
"2023-12-15","16,792.19","16,610.70","16,964.33","16,610.70","3.90B","2.38%"
"2023-12-14","16,402.19","16,419.74","16,577.75","16,319.22","2.34B","1.07%"
"2023-12-13","16,228.75","16,311.71","16,326.95","16,145.25","1.86B","-0.89%"
"2023-12-12","16,374.50","16,236.06","16,420.97","16,157.68","1.98B","1.07%"
"2023-12-11","16,201.49","16,149.06","16,276.88","15,972.31","2.53B","-0.81%"
"2023-12-8","16,334.37","16,373.44","16,464.14","16,249.15","1.88B","-0.07%"
"2023-12-7","16,345.89","16,376.44","16,376.44","16,157.98","1.95B","-0.71%"
"2023-12-6","16,463.26","16,311.96","16,600.36","16,234.84","1.99B","0.83%"
"2023-12-5","16,327.86","16,606.54","16,606.54","16,228.52","2.68B","-1.91%"
"2023-12-4","16,646.05","16,919.08","16,941.91","16,617.03","2.48B","-1.09%"
"2023-12-1","16,830.30","17,019.17","17,038.98","16,830.30","2.43B","-1.25%"
"2023-11-30","17,042.88","16,985.18","17,068.26","16,863.05","3.01B","0.29%"
"2023-11-29","16,993.44","17,359.08","17,359.08","16,881.98","2.81B","-2.08%"
"2023-11-28","17,354.14","17,541.48","17,541.48","17,303.82","1.79B","-0.98%"
"2023-11-27","17,525.06","17,677.52","17,677.52","17,358.24","1.50B","-0.20%"
"2023-11-24","17,559.42","17,771.75","17,771.75","17,545.61","1.30B","-1.96%"
"2023-11-23","17,910.84","17,680.05","17,927.36","17,577.31","1.67B","0.99%"
"2023-11-22","17,734.60","17,736.40","17,796.86","17,650.49","1.24B","0.00%"
"2023-11-21","17,733.89","17,932.54","18,057.62","17,689.01","2.09B","-0.25%"
"2023-11-20","17,778.07","17,625.84","17,788.90","17,532.73","1.96B","1.86%"
"2023-11-17","17,454.19","17,584.32","17,631.04","17,413.46","1.95B","-2.12%"
"2023-11-16","17,832.82","18,174.69","18,174.69","17,722.86","1.88B","-1.36%"
"2023-11-15","18,079.00","17,836.65","18,102.28","17,766.22","2.91B","3.92%"
"2023-11-14","17,396.86","17,495.10","17,565.22","17,358.89","1.45B","-0.17%"
"2023-11-13","17,426.21","17,263.00","17,456.08","17,126.61","1.44B","1.30%"
"2023-11-10","17,203.26","17,350.87","17,350.87","17,177.53","1.67B","-1.76%"
"2023-11-9","17,511.29","17,553.26","17,617.27","17,457.00","1.64B","-0.33%"
"2023-11-8","17,568.46","17,650.51","17,753.59","17,537.20","2.14B","-0.58%"
"2023-11-7","17,670.16","17,850.59","17,890.63","17,658.91","1.97B","-1.65%"
"2023-11-6","17,966.59","17,913.54","18,037.94","17,899.35","2.76B","1.71%"
"2023-11-3","17,664.12","17,405.91","17,729.43","17,352.60","2.00B","2.52%"
"2023-11-2","17,230.59","17,282.39","17,459.43","17,176.01","1.80B","0.75%"
"2023-11-1","17,101.78","17,139.40","17,188.85","16,979.26","1.53B","-0.06%"
"2023-10-31","17,112.48","17,337.70","17,337.70","17,042.10","2.11B","-1.69%"
"2023-10-30","17,406.36","17,225.65","17,406.36","17,225.65","2.67B","0.04%"
"2023-10-27","17,398.73","17,160.23","17,497.72","17,078.24","2.45B","2.08%"
"2023-10-26","17,044.61","17,085.12","17,174.08","16,917.22","1.97B","-0.24%"
"2023-10-25","17,085.33","17,465.43","17,465.82","17,001.43","2.50B","0.55%"
"2023-10-24","16,991.53","17,053.15","17,139.53","16,879.66","2.12B","-1.05%"
"2023-10-20","17,172.13","17,127.26","17,309.74","17,118.07","1.99B","-0.72%"
"2023-10-19","17,295.89","17,540.46","17,540.46","17,292.36","2.27B","-2.46%"
"2023-10-18","17,732.52","17,728.25","17,831.18","17,625.89","1.94B","-0.23%"
"2023-10-17","17,773.34","17,806.23","17,815.71","17,671.99","1.73B","0.75%"
"2023-10-16","17,640.36","17,803.31","17,858.18","17,601.50","1.90B","-0.97%"
"2023-10-13","17,813.45","17,946.77","18,013.67","17,776.95","2.14B","-2.33%"
"2023-10-12","18,238.21","18,258.26","18,290.91","18,175.35","3.86B","1.93%"
"2023-10-11","17,893.10","17,956.83","18,022.45","17,889.71","2.03B","1.29%"
"2023-10-10","17,664.73","17,726.63","17,916.62","17,638.01","1.60B","0.84%"
"2023-10-9","17,517.40","17,500.37","17,633.19","17,447.76","1.22B","0.18%"
"2023-10-6","17,485.98","17,370.03","17,603.80","17,370.03","1.14B","1.58%"
"2023-10-5","17,213.87","17,249.97","17,336.43","17,197.61","1.09B","0.10%"
"2023-10-4","17,195.84","17,266.82","17,266.82","17,094.00","1.29B","-0.78%"
"2023-10-3","17,331.22","17,546.39","17,546.39","17,212.87","2.10B","-2.69%"
"2023-9-29","17,809.66","17,484.95","17,935.15","17,482.39","1.84B","2.51%"
"2023-9-28","17,373.03","17,587.08","17,627.73","17,352.83","2.00B","-1.36%"
"2023-9-27","17,611.87","17,472.11","17,655.31","17,472.11","1.57B","0.83%"
"2023-9-26","17,466.90","17,661.85","17,718.18","17,379.44","1.91B","-1.48%"
"2023-9-25","17,729.29","18,046.89","18,046.89","17,722.49","1.55B","-1.82%"
"2023-9-22","18,057.45","17,578.26","18,078.69","17,573.81","1.92B","2.28%"
"2023-9-21","17,655.41","17,795.80","17,823.82","17,623.87","2.05B","-1.29%"
"2023-9-20","17,885.60","17,939.25","17,995.38","17,833.20","1.66B","-0.62%"
"2023-9-19","17,997.17","17,942.07","18,004.74","17,832.30","1.78B","0.37%"
"2023-9-18","17,930.55","18,069.04","18,114.82","17,894.81","1.69B","-1.39%"
"2023-9-15","18,182.89","18,154.01","18,372.65","18,030.79","2.78B","0.75%"
"2023-9-14","18,047.92","18,101.96","18,173.54","17,928.63","2.01B","0.21%"
"2023-9-13","18,009.22","18,131.10","18,200.52","17,954.97","1.87B","-0.09%"
"2023-9-12","18,025.89","18,015.56","18,145.58","17,892.01","1.89B","-0.39%"
"2023-9-11","18,096.45","17,941.65","18,164.61","17,842.37","2.52B","-0.58%"
"2023-9-7","18,202.07","18,437.48","18,437.48","18,173.44","2.12B","-1.34%"
"2023-9-6","18,449.98","18,405.09","18,492.59","18,256.10","2.35B","-0.04%"
"2023-9-5","18,456.91","18,717.42","18,725.50","18,431.72","2.32B","-2.06%"
"2023-9-4","18,844.16","18,592.53","18,899.49","18,575.45","4.04B","2.51%"
"2023-8-31","18,382.06","18,580.47","18,667.18","18,312.76","4.07B","-0.55%"
"2023-8-30","18,482.86","18,659.96","18,742.14","18,427.22","3.29B","-0.01%"
"2023-8-29","18,484.03","18,261.69","18,583.80","18,239.92","3.07B","1.95%"
"2023-8-28","18,130.74","18,519.08","18,564.43","18,113.23","2.99B","0.97%"
"2023-8-25","17,956.38","18,037.60","18,137.65","17,956.38","2.47B","-1.40%"
"2023-8-24","18,212.17","17,992.73","18,272.95","17,945.01","2.76B","2.05%"
"2023-8-23","17,845.92","17,762.76","18,000.53","17,730.79","2.50B","0.31%"
"2023-8-22","17,791.01","17,641.86","17,965.26","17,573.70","2.90B","0.95%"
"2023-8-21","17,623.29","17,798.47","17,867.66","17,587.38","3.14B","-1.82%"
"2023-8-18","17,950.85","18,208.98","18,336.41","17,936.43","3.05B","-2.05%"
"2023-8-17","18,326.63","18,023.11","18,399.20","17,900.77","3.16B","-0.01%"
"2023-8-16","18,329.30","18,356.65","18,440.96","18,261.85","2.82B","-1.36%"
"2023-8-15","18,581.11","18,599.20","18,745.82","18,513.78","2.67B","-1.03%"
"2023-8-14","18,773.55","18,697.33","18,792.72","18,554.51","3.89B","-1.58%"
"2023-8-11","19,075.19","19,319.91","19,346.29","19,049.92","3.36B","-0.90%"
"2023-8-10","19,248.26","19,125.00","19,315.17","19,030.39","2.60B","0.01%"
"2023-8-9","19,246.03","19,059.58","19,270.48","19,056.10","2.26B","0.32%"
"2023-8-8","19,184.17","19,308.55","19,370.80","19,112.61","3.49B","-1.81%"
"2023-8-7","19,537.92","19,474.66","19,581.82","19,352.35","2.28B","-0.01%"
"2023-8-4","19,539.46","19,671.13","19,857.39","19,461.61","2.77B","0.61%"
"2023-8-3","19,420.87","19,404.14","19,650.16","19,369.06","2.49B","-0.49%"
"2023-8-2","19,517.38","19,902.77","19,981.00","19,475.15","2.96B","-2.47%"
"2023-8-1","20,011.12","20,211.20","20,331.28","19,891.81","3.01B","-0.34%"
"2023-7-31","20,078.94","20,237.53","20,361.03","20,019.79","4.33B","0.82%"
"2023-7-28","19,916.56","19,418.48","19,940.59","19,381.90","3.09B","1.41%"
"2023-7-27","19,639.11","19,502.09","19,685.79","19,482.47","3.03B","1.41%"
"2023-7-26","19,365.14","19,340.77","19,404.50","19,245.66","2.14B","-0.36%"
"2023-7-25","19,434.40","19,172.28","19,465.27","19,111.82","3.67B","4.10%"
"2023-7-24","18,668.15","18,867.61","18,946.56","18,562.12","2.21B","-2.13%"
"2023-7-21","19,075.26","18,918.70","19,169.75","18,886.43","1.64B","0.78%"
"2023-7-20","18,928.02","19,003.28","19,215.74","18,888.76","1.81B","-0.13%"
"2023-7-19","18,952.31","18,826.59","19,004.42","18,711.03","1.98B","-0.33%"
"2023-7-18","19,015.72","19,324.34","19,324.34","18,979.92","2.59B","-2.05%"
"2023-7-17","19,413.78","19,413.78","19,413.78","19,413.78","","0.00%"
"2023-7-14","19,413.78","19,534.82","19,534.82","19,364.60","2.46B","0.33%"
"2023-7-13","19,350.62","19,181.31","19,368.92","19,163.21","2.73B","2.60%"
"2023-7-12","18,860.95","18,797.01","18,932.18","18,739.60","1.82B","1.08%"
"2023-7-11","18,659.83","18,671.42","18,806.55","18,573.67","2.11B","0.97%"
"2023-7-10","18,479.72","18,747.50","18,781.21","18,417.63","1.95B","0.62%"
"2023-7-7","18,365.70","18,435.46","18,537.75","18,279.73","2.46B","-0.90%"
"2023-7-6","18,533.05","18,840.41","18,973.01","18,483.08","3.28B","-3.02%"
"2023-7-5","19,110.38","19,355.06","19,378.90","19,095.60","2.43B","-1.57%"
"2023-7-4","19,415.68","19,289.06","19,449.11","19,253.22","1.99B","0.57%"
"2023-7-3","19,306.59","19,002.55","19,371.71","19,002.55","2.21B","2.06%"
"2023-6-30","18,916.43","18,881.43","19,070.11","18,838.62","1.87B","-0.09%"
"2023-6-29","18,934.36","19,180.28","19,180.28","18,837.32","1.69B","-1.24%"
"2023-6-28","19,172.05","19,099.39","19,222.13","19,019.26","1.68B","0.12%"
"2023-6-27","19,148.13","18,851.66","19,226.32","18,842.42","2.06B","1.88%"
"2023-6-26","18,794.13","18,845.90","19,001.62","18,767.15","2.07B","-0.51%"
"2023-6-23","18,889.97","19,135.02","19,138.42","18,800.34","1.69B","-1.71%"
"2023-6-21","19,218.35","19,305.24","19,377.69","19,174.16","2.00B","-1.98%"
"2023-6-20","19,607.08","19,863.86","19,863.86","19,504.63","2.12B","-1.54%"
"2023-6-19","19,912.89","19,983.40","20,000.22","19,718.43","1.91B","-0.64%"
"2023-6-16","20,040.37","19,915.44","20,155.92","19,876.42","3.58B","1.07%"
"2023-6-15","19,828.92","19,626.80","19,832.20","19,510.76","2.66B","2.17%"
"2023-6-14","19,408.42","19,547.58","19,641.16","19,352.34","2.48B","-0.58%"
"2023-6-13","19,521.42","19,355.65","19,572.42","19,273.42","2.47B","0.60%"
"2023-6-12","19,404.31","19,440.99","19,440.99","19,255.65","1.69B","0.07%"
"2023-6-9","19,389.95","19,333.43","19,463.61","19,231.13","2.00B","0.47%"
"2023-6-8","19,299.18","19,227.84","19,339.82","19,087.66","2.21B","0.25%"
"2023-6-7","19,252.00","19,327.15","19,410.48","19,196.09","2.16B","0.80%"
"2023-6-6","19,099.28","19,117.11","19,377.38","19,033.85","2.26B","-0.05%"
"2023-6-5","19,108.50","19,014.96","19,123.80","18,896.13","2.10B","0.84%"
"2023-6-2","18,949.94","18,566.81","19,024.91","18,548.30","3.73B","4.02%"
"2023-6-1","18,216.91","18,190.27","18,465.64","18,190.27","2.62B","-0.10%"
"2023-5-31","18,234.27","18,415.00","18,415.00","18,044.86","4.37B","-1.94%"
"2023-5-30","18,595.78","18,574.19","18,666.71","18,369.93","2.24B","0.24%"
"2023-5-29","18,551.11","18,827.08","18,879.09","18,517.86","2.20B","-1.04%"
"2023-5-25","18,746.92","18,930.23","18,930.23","18,620.84","2.79B","-1.93%"
"2023-5-24","19,115.93","19,279.39","19,304.20","19,046.80","2.48B","-1.62%"
"2023-5-23","19,431.25","19,713.46","19,769.14","19,363.50","1.89B","-1.25%"
"2023-5-22","19,678.17","19,479.06","19,806.44","19,410.07","1.68B","1.17%"
"2023-5-19","19,450.57","19,535.49","19,610.72","19,352.81","1.95B","-1.40%"
"2023-5-18","19,727.25","19,702.73","19,894.23","19,630.76","2.10B","0.85%"
"2023-5-17","19,560.57","19,956.13","19,987.93","19,538.09","2.26B","-2.09%"
"2023-5-16","19,978.25","20,183.28","20,183.28","19,891.49","1.72B","0.04%"
"2023-5-15","19,971.13","19,525.06","20,063.35","19,498.04","2.58B","1.75%"
"2023-5-12","19,627.24","19,850.84","19,853.37","19,596.49","2.28B","-0.59%"
"2023-5-11","19,743.79","19,842.98","19,854.49","19,567.62","2.21B","-0.09%"
"2023-5-10","19,762.20","19,860.50","19,880.03","19,696.59","2.78B","-0.53%"
"2023-5-9","19,867.58","20,252.13","20,297.83","19,817.78","4.04B","-2.12%"
"2023-5-8","20,297.03","20,128.18","20,321.74","20,081.70","4.29B","1.24%"
"2023-5-5","20,049.31","20,061.00","20,208.75","19,968.41","3.32B","0.50%"
"2023-5-4","19,948.73","19,695.73","19,979.77","19,695.73","3.21B","1.27%"
"2023-5-3","19,699.16","19,686.15","19,721.96","19,538.72","1.46B","-1.18%"
"2023-5-2","19,933.81","20,122.90","20,286.46","19,761.13","1.46B","0.20%"
"2023-4-28","19,894.57","19,936.02","20,167.88","19,879.07","2.57B","0.27%"
"2023-4-27","19,840.28","19,736.35","19,880.29","19,662.60","2.15B","0.42%"
"2023-4-26","19,757.27","19,520.97","19,903.73","19,520.97","1.94B","0.71%"
"2023-4-25","19,617.88","19,903.53","19,910.28","19,527.63","2.20B","-1.71%"
"2023-4-24","19,959.94","20,049.87","20,146.37","19,734.68","2.25B","-0.58%"
"2023-4-21","20,075.73","20,330.15","20,378.90","19,974.91","2.49B","-1.57%"
"2023-4-20","20,396.97","20,354.83","20,472.50","20,308.33","2.05B","0.14%"
"2023-4-19","20,367.76","20,633.00","20,633.00","20,336.71","2.18B","-1.37%"
"2023-4-18","20,650.51","20,643.41","20,742.39","20,559.08","2.35B","-0.63%"
"2023-4-17","20,782.45","20,374.51","20,864.74","20,299.15","3.41B","1.68%"
"2023-4-14","20,438.81","20,422.72","20,482.68","20,297.16","2.09B","0.46%"
"2023-4-13","20,344.48","19,977.96","20,344.48","19,885.53","2.33B","0.17%"
"2023-4-12","20,309.86","20,481.53","20,494.81","20,236.92","2.35B","-0.86%"
"2023-4-11","20,485.24","20,566.59","20,750.73","20,293.37","3.06B","0.76%"
"2023-4-6","20,331.20","20,146.22","20,343.86","20,099.48","2.14B","0.28%"
"2023-4-4","20,274.59","20,364.36","20,364.36","20,126.90","2.42B","-0.66%"
"2023-4-3","20,409.18","20,379.50","20,475.43","20,226.95","2.65B","0.04%"
"2023-3-31","20,400.11","20,583.88","20,721.97","20,357.41","3.04B","0.45%"
"2023-3-30","20,309.13","20,216.79","20,320.02","20,017.17","2.98B","0.58%"
"2023-3-29","20,192.40","20,348.64","20,437.69","20,107.73","2.60B","2.06%"
"2023-3-28","19,784.65","19,688.31","19,875.11","19,559.47","1.94B","1.11%"
"2023-3-27","19,567.69","19,851.79","19,938.77","19,509.49","2.50B","-1.75%"
"2023-3-24","19,915.68","19,919.65","20,118.29","19,834.45","2.31B","-0.67%"
"2023-3-23","20,049.64","19,619.74","20,051.26","19,523.50","2.53B","2.34%"
"2023-3-22","19,591.43","19,428.36","19,775.69","19,428.36","2.36B","1.73%"
"2023-3-21","19,258.76","19,118.87","19,295.64","19,018.10","1.93B","1.36%"
"2023-3-20","19,000.71","19,352.90","19,382.97","18,829.11","2.84B","-2.65%"
"2023-3-17","19,518.59","19,439.84","19,597.18","19,303.29","4.33B","1.64%"
"2023-3-16","19,203.91","19,197.97","19,388.77","19,109.07","3.05B","-1.72%"
"2023-3-15","19,539.87","19,523.49","19,745.44","19,431.09","2.63B","1.52%"
"2023-3-14","19,247.96","19,524.51","19,639.52","19,122.82","3.03B","-2.27%"
"2023-3-13","19,695.97","19,411.88","19,791.64","19,390.38","3.13B","1.95%"
